id_x,first_name,last_name,salary,department_id,email,id_y,department
10301,Keith,Morgan,27056,2,,2,human resource
10303,Clifford,Nguyen,32165,2,,2,human resource
10310,Dawn,Foley,28902,2,,2,human resource
10312,Kathleen,Davis,44579,2,,2,human resource
10318,Jessica,Austin,43154,2,,2,human resource
10319,Stephanie,Gamble,31160,2,,2,human resource
10326,Randall,Kramer,20695,2,,2,human resource
10334,Michael,Mitchell,19044,2,,2,human resource
10337,Jonathan,Holt,30267,2,,2,human resource
10342,Derek,Morgan,11286,2,,2,human resource
10346,Philip,Jones,46356,2,,2,human resource
10364,Elijah,Potter,44472,2,,2,human resource
10373,Meghan,Martinez,12993,2,,2,human resource
10379,Rebecca,Turner,28312,2,,2,human resource
10383,Jonathan,Lester,30517,2,,2,human resource
10385,Michelle,Miller,36911,2,,2,human resource
10386,Jacob,Carr,20676,2,,2,human resource
10396,Meghan,Henderson,28733,2,,2,human resource
10398,Alexander,Abbott,15334,2,,2,human resource
10302,Tyler,Booth,32199,3,,3,operation
10304,Mary,Jones,49488,3,,3,operation
10305,Melissa,Lucero,27024,3,,3,operation
10308,Anthony,Sanchez,43801,3,,3,operation
10322,Paul,Horton,37431,3,,3,operation
10328,Gene,Shepard,10143,3,,3,operation
10330,Robin,Horne,34679,3,,3,operation
10336,Gloria,Krause,21670,3,,3,operation
10340,Joshua,Stephens,29339,3,,3,operation
10341,Alison,Hernandez,45144,3,,3,operation
10351,Andrew,Lopez,18997,3,,3,operation
10354,Taylor,Tucker,20225,3,,3,operation
10361,Xavier,Pace,18842,3,,3,operation
10366,Heather,Schroeder,40546,3,,3,operation
10369,Kimberly,White,31456,3,,3,operation
10372,Lawrence,Smith,11636,3,,3,operation
10376,Lori,Burns,14603,3,,3,operation
10381,Stephanie,Mejia,11913,3,,3,operation
10384,Olivia,Hoffman,44696,3,,3,operation
10388,Michael,Harvey,18280,3,,3,operation
10389,Anthony,Molina,26304,3,,3,operation
10393,Lori,Page,24569,3,,3,operation
10399,Christopher,Ryan,33224,3,,3,operation
10306,Ashley,Li,28516,4,,4,marketing
10309,Katherine,Huffman,12984,4,,4,marketing
10317,Pamela,Rodriguez,48187,4,,4,marketing
10320,Gregory,Cook,22681,4,,4,marketing
10323,Henry,Solis,45269,4,,4,marketing
10329,Christopher,Ramos,37710,4,,4,marketing
10333,Jennifer,Blankenship,13433,4,,4,marketing
10344,Jenny,Owens,40606,4,,4,marketing
10356,Wendy,Brown,30432,4,,4,marketing
10360,Randy,Lee,45121,4,,4,marketing
10363,David,Chapman,15426,4,,4,marketing
10367,Jeremy,Phillips,36605,4,,4,marketing
10368,William,Hall,20534,4,,4,marketing
10377,Stephanie,Chavez,30196,4,,4,marketing
10392,Melissa,Nichols,35266,4,,4,marketing
10394,Jacqueline,Stewart,41454,4,,4,marketing
10307,Joseph,Solomon,19945,1,,1,engineering
10311,Melissa,Holmes,33575,1,,1,engineering
10316,Beth,Torres,34902,1,,1,engineering
10324,William,Brewer,15947,1,,1,engineering
10325,Brian,Nelson,27006,1,,1,engineering
10339,Robert,Mills,13188,1,,1,engineering
10349,Ryan,Barnes,25085,1,,1,engineering
10350,Patrick,Booth,39940,1,,1,engineering
10353,Patricia,Lawson,15808,1,,1,engineering
10355,Aaron,Fischer,45787,1,,1,engineering
10358,Edward,Wolf,45649,1,,1,engineering
10365,Craig,West,37278,1,,1,engineering
10370,Susan,Fisher,32308,1,,1,engineering
10400,Chelsea,Gonzalez,20785,1,,1,engineering
10313,Adam,Simmons,15442,6,,6,customer care
10314,Desiree,Brewer,37494,6,,6,customer care
10315,Sierra,Anderson,20592,6,,6,customer care
10335,Johnny,Fritz,40638,6,,6,customer care
10338,Anthony,Bullock,39362,6,,6,customer care
10359,Jacob,Brown,28782,6,,6,customer care
10362,Anita,Chen,19669,6,,6,customer care
10371,Deborah,Duncan,18517,6,,6,customer care
10374,Paige,Mills,19448,6,,6,customer care
10375,Michael,Johnson,34888,6,,6,customer care
10378,Luis,Sheppard,23532,6,,6,customer care
10380,Justin,Jones,31170,6,,6,customer care
10387,Ashley,Todd,49926,6,,6,customer care
10391,Kenneth,Smith,28762,6,,6,customer care
10395,Victor,Robinson,28034,6,,6,customer care
10397,Heather,Kelly,42487,6,,6,customer care
10321,Debra,Knapp,17844,5,,5,sales
10327,Mary,Baker,46654,5,,5,sales
10331,Alan,Wilson,43730,5,,5,sales
10332,Jessica,Mccall,40882,5,,5,sales
10343,Anthony,Morgan,15145,5,,5,sales
10345,Elizabeth,Raymond,33050,5,,5,sales
10347,Seth,Gross,25681,5,,5,sales
10348,Edwin,Johnson,35144,5,,5,sales
10352,Sarah,Mcknight,31082,5,,5,sales
10357,Michael,Robertson,47657,5,,5,sales
10382,Sharon,Liu,34620,5,,5,sales
10390,Maria,Warren,20599,5,,5,sales
